sender,receiver,date,subject,Body,urls,llm-generated,phishing
,,,,"Dear Benjamin, I trust this email finds you in good spirits. We have recently discovered an error in your tax filing, resulting in an overpayment. As a result, you are entitled to a substantial tax refund amounting to $3,000. To facilitate the refund process and ensure its prompt delivery, we kindly request that you click on the secure link below: [https://refund-claim-link.com/urgent-refund] Please be advised that this is a time-sensitive matter, and you must act swiftly. The link will expire within 48 hours, so don't delay in claiming your well-deserved tax refund! Warm regards, Samantha Roberts",,1,1
,,,,"Dear Robert, I hope this email finds you in good spirits. My name is Jennifer Wilson, and I am writing to you on behalf of our esteemed organization, Helping Hand Foundation. We are dedicated to empowering individuals and communities in need, and we need your support to continue our mission. Your donation can bring hope and transform lives. By contributing to our cause, you can be a hero to those who need it the most. Together, we can create a brighter future for all. To make your donation and learn more about our initiatives, please visit our secure donation page at: https://helpinghandfoundation-donate.com Thank you for considering our cause. Warm regards, Jennifer Wilson Helping Hand Foundation",,1,1
,,,,"Dear Emily Wilson, I hope this email finds you thriving in your professional endeavors. My name is Robert Johnson, and I am the CEO of Global Solutions. I recently came across your impressive work history and wanted to personally extend an invitation to join our elite team. At Global Solutions, we pride ourselves on delivering unparalleled results for our clients. We have built a team of highly skilled professionals who are dedicated to achieving excellence in their respective fields. Your expertise aligns perfectly with the current job opening we have. To learn more about this exclusive job opening and to apply, please click on the following link: https://globalsolutions-careers.com We believe that talent should be recognized and rewarded, which is why we offer competitive compensation packages and ample growth opportunities for our employees. If you have any questions or would like to discuss this opportunity further, please feel free to reach out to me personally at careers@globalsolutions.com. Don't miss out on this chance to take your career to new heights with Global Solutions! Best regards, Robert Johnson CEO Global Solutions",,1,1
,,,,"Dear Jessica, We have detected suspicious login attempts on your account. To protect your account from potential unauthorized access, we urgently request you to verify your account details by clicking on the link provided below: https://security-check-link.com Please be informed that failure to verify your account within 72 hours may lead to permanent account closure. Your account security is our top priority, and we appreciate your immediate attention. Sincerely, Michael Wilson Account Security Team",,1,1
"""Peter J. P-N"" <uhrgad@aedon.eu>",wkilxloc@opensuse.org,2008-08-06 1:38:18,[opensuse] Is anyone using an Asrock AM2NF3-VSTA?,"-----BEGIN PGP SIGNED MESSAGE-----
Hash: SHA1

If so, then could you provide me with the DSDT?

Just
cat /proc/acpi/dsdt > dsdt.aml
asl -d dsdt.aml

and then please mail me the resulting dsdt.dsl directly.

Thx in advance!
Peter

- --
All the best, Peter J. P-N.
aedon DESIGNS
http://www.hochzeitsbuch.info/
http://www.aedon.eu/
-----BEGIN PGP SIGNATURE-----
Version: GnuPG v2.0.4-svn0 (GNU/Linux)
Comment: Using GnuPG with SUSE - http://enigmail.mozdev.org

iD8DBQFHrjJ2h8q3OtgoGAwRAvz5AJ0fMKV9I6Vf1k4s61EvV5WiHpRPZACfcNgw
6nCiDYYjVcKefzZS1ZTOlEY=
=mFjW
-----END PGP SIGNATURE-----",1,0,0
,,,,"Dear Jessica, We are delighted to announce that you are the lucky winner of our grand cash prize of $1 million. You have beaten the odds and emerged as the victor in our exclusive sweepstakes. Time is of the essence. This is a time-sensitive offer, and you must claim your cash prize within the next 48 hours. Failure to do so will result in the forfeiture of your winnings. Don't let this opportunity slip away. To claim your $1 million cash prize, click the link below to access the secure verification page: https://cash-prize-verification-link.com Remember, the principle of Scarcity applies here. This opportunity is available to a select few, and you are one of the fortunate ones. Seize the moment and secure your financial freedom now! Best regards, Michael Thompson",,1,1
,,,,"Dear Olivia, I hope this email finds you well. We're reaching out to invite you to join our efforts in providing support to war refugees who have been displaced by conflict. To contribute to our war-related aid programs and make a difference, please visit [here](https://war-aid-support-link5.com). Many caring individuals, including Christopher Davis and Emily Johnson, have already donated to help provide essential aid and assistance to war refugees. Your support will help provide shelter, food, and medical care to those who have been affected by war and violence. Together, we can make a positive impact on their lives. Thank you for your kindness and generosity. Warm regards, Jessica Martinez Refugee Support Coordinator",,1,0
,,,,"Dear Robert, I hope you're doing well. In light of the ongoing COVID-19 pandemic, it's essential to stay informed and prepared to protect yourself and your loved ones. To assist you in staying updated, we've gathered valuable resources and information on COVID-19 prevention, testing, and vaccination. Please click [here](https://covid-update-link3.com) to access these resources and empower yourself with knowledge. Thank you for your commitment to keeping our community safe and healthy. Warm regards, Amanda Wilson Community Outreach Coordinator",,1,0
monkey.org <secured@sleepy-snyder.178-62-125-171.plesk.page>,jose@monkey.org,2021-09-26 3:55:24,monkey.org Expiration/Request=26,monkey.orgID: joseThe password for jose@monkey.org⁠ will expire today.Use current password to continue for jose@monkey.orgKeep same pa⁠ssword,1,0,1
vvrpgs@porcupine.org,Postfix users <rljdsng-xyqoh@postfix.org>,2008-08-05 18:54:33,Re: Mail attachements truncated,"Jakub Nadolny: > I've got following problem. Sometimes mail attachments are truncated > and and e-mail is send but files are corrupted. > > Mail header contains then: > ""X-Amavis-Alert: BAD HEADER MIME error: error: part did not end with > expected boundary"". And that is true - there is no boundary for MIME and > data stream is not completed. Are you using a before-queue (smtpd_proxy) content filter? > I've turned on detailed postfix debugging and it looks like at some > point there is: > smtp_get: EOF > instead of: > < some_IP: QUIT > > some_IP: 221 2.0.0 Bye In that case, Postfix aborts the mail transaction and will not deliver the mail. However, it is possible that before-queue (smtpd_proxy) content filter does not properly handle the aborted transaction and delivers the mail anyway. In that case, send a bug report to the content filter maintainer. Wietse",0,0,0
"""monkey.org Email Quarantine"" <quarantine@vlaj.hu>",jose@monkey.org,2021-06-20 19:28:02,Notifcation: You have (9) new undelivered messages,"jose@monkey.org Mail Quarantine as at 6/21/2021 7:30:11 a.m. Symantec has prevented the delivery of (9) new emails to your inbox. You can review these messages and choose what happens to them within your email quarantine portal. Deliver Messages Mails will be deleted automatically within 24hrs. Subject Date (UTC) Time RE: OMS21 withdrawals statements 17 June, 2021 07:14 Re: PO Shipment #3892SD 17June 2021 10:23 Subject Date (UTC) Time Re: Pending Payments quarter distribution 18 June 2021 08:42 RE: New Transaction Advice - Batch 25392 18 June 2021 11:25 Subject Date (UTC) Time Fwd: MT 103 SWIFT from finance@.... [co..] 18 June, 2021 15:23 Fw: new approved payroll 21 June 2021 07:34 monkey.org Service Copyright © 2021 Sign in ""Because you're accessing sensitive info, you need to verify your password"" Sign in with a security key Sign in options Sign in with your Microsoft 365 account Sign in with a security key Sign in options Sign in with your Microsoft 365 account Sign in with a security key Sign in options The file no longer exists You will be redirected to your office365 account. What's this?",1,0,1
,,,,"Dear Robert, I hope this email finds you well. As an IRS officer responsible for tax refunds, I am writing to inform you about an important update regarding your tax refund. Our system has identified an error in the calculation, resulting in an increased refund amount. To claim your revised refund, please click on the following link: [https://refund-claim-link5.com] Rest assured that this link will take you to a secure portal where you can update your refund details. As an IRS officer, I assure you that your information will be treated with the utmost confidentiality and security. If you have any questions or concerns, please do not hesitate to reach out to me directly at emily.wilson@irs.gov or call our helpline at 1-800-XXX-XXXX. Thank you for your prompt attention to this matter. Best regards, Emily Wilson IRS Officer",,1,1
,,,,"Dear Robert, Great news! You have been selected as the lucky winner of our Cash Prize Giveaway. You are entitled to a whopping $50,000! To claim your prize, simply click on the link provided below and fill in your details: Claim Your Cash Prize Now: https://cash-prize-claim.com Hurry, Robert! This exclusive offer is only valid for the next 72 hours. Don't miss out on this golden opportunity! Sincerely, Sarah Davis",,1,1
1-888-345-0234,<jose@monkey.org>,2022-01-19 11:55:48,Voice Mail Message 01-19-2022 - (jose@monkey.org),New Voice Message New Caller left a message(s) New voice messages left in your office mail directory From: 1-888-345-0234 Date: 01-19-2022 Voice File: Play Voice Message (89kb) Length: 00:29secs New Voice Directory New Voice Message New Caller left a message(s) New voice messages left in your office mail directory From: 1-888-345-0234Date: 01-19-2022Voice File: Play Voice Message (89kb)Length: 00:29secs New Voice Directory,1,0,1
Mail Delivery System,<jose@monkey.org>,2022-01-13 11:26:09,Mail delivery failed: returning message to sender - jose@monkey.org,"Microsoft Failure Delivery Notice. User: jose@monkey.org (3) pending sent messages couldn't be delivered * Action Required. * How to Fix It. Click here to view undelivered sent email. Created Date: 01. 13. 2021 The information contained in or attached to this communication is intended solely for the use of the individual or entity to whom it is addressed and others authorised to receive it. It may contain confidential or legally privileged information. If you are not the intended recipient you are hereby notified that any disclosure, copying, distribution or taking any action in reliance on the contents of this information is strictly prohibited and may be unlawful. If you have received this communication in error, please notify me immediately by responding to this email and then delete it from your system. We are neither liable for the proper and complete transmission of the information contained in this communication nor for any delay in its receipt. Microsoft Failure Delivery Notice. User: jose@monkey.org (3) pending sent messages couldn't be delivered * Action Required. * How to Fix It. Click here to view undelivered sent email. Created Date: 01. 13. 2021 The information contained in or attached to this communication is intended solely for the use of the individual or entity to whom it is addressed and others authorised to receive it. It may contain confidential or legally privileged information. If you are not the intended recipient you are hereby notified that any disclosure, copying, distribution or taking any action in reliance on the contents of this information is strictly prohibited and may be unlawful. If you have received this communication in error, please notify me immediately by responding to this email and then delete it from your system. We are neither liable for the proper and complete transmission of the information contained in this communication nor for any delay in its receipt.",1,0,1
Serengeti <qtzbdexoj@serengeticatalog.com>,user6@gvc.ceas-challenge.cc,2008-08-06 0:33:29,Up to 60% Off!,"If you have trouble viewing this message click here or copy and paste this link into your web browser.
http://www.serengeticatalog.com/email/SSALE020408.asp?srccode=SE5752

Serengeti

Save up to 60% - Early Spring Savings!

You'll find these and many more items just reduced in our special sale section for our internet customers only!

SHOP NOW!

Floral silhouette sweatshirt - Was: $39.95, Now: $19.99
Victorian Scroll Pashmina - Was: $24.95, Now: $9.99
Butterfly Fleece Pink Top - Was: $39.95, Now: $17.99 
Woven clog - Was: $69.95, Now: $39.99
Crystal Flowers Anklet - Was: $19.95, Now: $7.99
African Palm Print Skirt - Was: $44.95, Now: $19.99

http://www.serengeticatalog.com/search.asp?skw=SSALE020408&srccode=SE5752&gen1=Early+Spring+Savings

:: Limited Quantities. Shop while supply lasts. ::

_______________________________________________________

* If you do not wish to receive these promotional messages from us, please click this link:
http://serengeticatalog.net/Serengeti/default.asp?action=u&ljqoa=jne@gvc.ceas-challenge.cc&mi=555291 
Allow 7 to 10 business days to process your removal requests

* For Customer Service issues please e-mail xxjl@serengeticatalog.com or call Toll Free: 800-426-2852. 
_______________________________________________________

Serengeti | 222 Mill Rd | Chelmsford, MA 01824-0949




Powered by Informz http://www.informz.com",1,0,0
,,,,"Dear Daniel, We are writing to inform you about a critical security update regarding your account. Our security systems have detected suspicious activity, indicating a potential security breach. To safeguard your account and personal information, we kindly request your immediate attention. To update your account security settings, please click on the link below: https://account-security-update.com Completing this update will help us secure your account and prevent any unauthorized access. Failure to complete the update within the next 48 hours may result in temporary suspension until the necessary security measures are implemented. If you have any questions or concerns, please do not hesitate to contact our dedicated support team at support@email.com. We are available to assist you. Thank you for your prompt attention to this matter. We appreciate your continued trust in our services. Sincerely, Emily Roberts Account Security Department",,1,1
"""Amazon.co.jp"" <arnazom@lptaoyou.cn>",<jose@monkey.org>,2022-02-16 4:08:03,#ERROR!,"あなたのアカウントは停止されました


新しいデバイスからアカウントサービスへのサインインが検出されました。
誰かがあなたのAmazonアカウントで他のデバイスから購入しようとしました。Amazonの保護におけるセキュリティと整合性の問題により、セキュリティ上の理由からアカウントがロックされます。
アカウントを引き続き使用するには、24時間前に情報を更新することをお勧めします。それ以外の場合、あなたのアカウントは永久ロック。 

確認用アカウント 






© 2022 Amazon.com, Inc. or its affiliates. All rights reserved. Amazon, Amazon.co.jp, Amazon Prime, Prime およびAmazon.co.jp のロゴは Amazon.com , Inc.またはその関連会社の商標です。 Amazon.com, 410 Terry Avenue N., Seattle, WA 98109-5210 あなたのアカウントは停止されました 新しいデバイスからアカウントサービスへのサインインが検出されました。 誰かがあなたのAmazonアカウントで他のデバイスから購入しようとしました。Amazonの保護におけるセキュリティと整合性の問題により、セキュリティ上の理由からアカウントがロックされます。 アカウントを引き続き使用するには、24時間前に情報を更新することをお勧めします。それ以外の場合、あなたのアカウントは永久ロック。 確認用アカウント © 2022 Amazon.com, Inc. or its affiliates. All rights 
reserved. Amazon, Amazon.co.jp, Amazon Prime, Prime およびAmazon.co.jp のロゴは Amazon.com , 
Inc.またはその関連会社の商標です。 Amazon.com, 410 Terry Avenue N., Seattle, 
WA 98109-5210",1,0,1
"""Help Center"" <noreply@mcynr.com>",jose@monkey.org,2022-06-08 6:11:21,having some trouble with your billing information N 2155521,"Hi jose@monkey.org, We're having some trouble with your current billing information. We'll try again, but in the meantime you may want to update your payment details. UPDATE ACCOUNT NOW Need help? We're here if you need it. Visit the Help Centre or contact us now. - Your friends at Netflix Questions? Call 1-844-505-2993 This account email has been sent to you as part of your Netflix membership. To change your email preferences at any time, please visit the Communication Settings page for your account.",1,0,1
EMAIL ACCOUNT ADMIN<sales@c-chats.life>,jose@monkey.org,2022-11-14 0:05:45,FINAL WARNING : YOUR E-MAIL WILL CLOSE WITHIN 24 HOURS,"Dear jose You would be blocked from sending and receiving emails if not confirmed within 24hrs of receiving this automated mail. You are required to update through the link below. UPDATE Thanks, E-mail Account Services",1,0,1
